"Reference","Value","Footprint","Qty","Manufacturer","Manufacturer Part Number"
"C1, C6","10uF","HalfMarble:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","Samsung Electro-Mechanics","CL21A106KPFNNNE"
"C2-C5, C7, C8, C11, C12","1uF","HalfMarble:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8","Samsung Electro-Mechanics","CL21B105KOFNNNE"
"C9, C10","12pF","HalfMarble:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","YAGEO","CC0805JRNPO9BN120"
"D1, D3, D28","BAT20J","HalfMarble:D_SOD-123","3","Changjiang Electronics Tech (CJ)","B5819W"
"D2, D8-D27","GREEN","HalfMarble:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","21","XINGLIGHT","XL-2012UGC"
"D4","BLUE","HalfMarble:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","XINGLIGHT","XL-2012UBC"
"D5, D7","YELLOW","HalfMarble:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","Everlight Elec","17-21SYGC/S530-E2/TR8"
"D6","WS2812B","HalfMarble:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","1","Worldsemi","WS2812B-B/W"
"D29","RED","HalfMarble:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","Everlight Elec","17-21SURC/S530-A3/TR8"
"F1","500mA","HalfMarble:Fuse_1206_3216Metric","1","Jinrui Electronic Materials Co.","JK-NSMD050-13.2V"
"H1-H3","MountingHole","HalfMarble:MountingHole_2.2mm_M2_ISO7380","3","",""
"J1","USB_B_Micro","HalfMarble:USB_Micro-B_Molex-105017-0001","1","SHOU HAN","MicroXNJ"
"J2, J3","3.3V","HalfMarble:PinHeader_1x02_P2.54mm_Vertical","2","Nextron(Nextronics Engineering)",""
"J4","VBAT IN","HalfMarble:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1","Ckmtw(Shenzhen Cankemeng)",""
"J5","JTAG","HalfMarble:PinSocket_1x06_P2.54mm_Vertical","1","BOOMELE(Boom Precision Elec)",""
"J6, J7","Header_01x14","HalfMarble:PinHeader_1x14_P2.54mm_Vertical","2","Nextron(Nextronics Engineering)","Z-211-4011-0021-001"
"J8","PROGRAM","HalfMarble:PinSocket_1x06_P2.54mm_Vertical","1","BOOMELE(Boom Precision Elec)",""
"J9, J10, J15","Header_01x01","HalfMarble:PinHeader_1x01_P2.54mm_Small","3","",""
"J11, J28","Header_01x05","HalfMarble:PinHeader_1x05_P2.54mm_Vertical","2","Nextron(Nextronics Engineering)",""
"J12-J14, J16-J18, J26, J27, J29, J30","Header_01x02","HalfMarble:PinHeader_1x02_P2.54mm_Vertical","10","Nextron(Nextronics Engineering)",""
"J19, J20, J24","Socket_01x05","HalfMarble:PinSocket_1x05_P2.54mm_Vertical","3","BOOMELE(Boom Precision Elec)",""
"J21","Socket_01x04","HalfMarble:PinSocket_1x04_P2.54mm_Vertical","1","BOOMELE(Boom Precision Elec)",""
"J22, J23","Qwiic","HalfMarble:CONN_BM04B-SRSS-TB(LF)(SN)","2","JST Sales America","BM04B-SRSS-TB(LF)(SN)"
"J25","Socket_01x02","HalfMarble:PinSocket_1x02_P2.54mm_Vertical","1","BOOMELE(Boom Precision Elec)",""
"J31","Header_01x03","HalfMarble:PinHeader_1x03_P2.54mm_Vertical","1","Nextron(Nextronics Engineering)",""
"JP1, JP2","Jumper (open)","HalfMarble:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","2","",""
"JP3, JP4","Jumper (bridged)","HalfMarble:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm_Small","2","",""
"LOGO1-LOGO3","Logo_HalfMarble (silkscreen)","HalfMarble:LOGO","3","",""
"LOGO4","Logo_Open_Hardware (silkscreen)","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen","1","",""
"Q1, Q3","S8050","HalfMarble:TSOT-23","2","Changjiang Electronics Tech (CJ)","S8050"
"Q2","Si2301","HalfMarble:SOT-23","1","Vishay Intertech","SI2301CDS-T1-GE3"
"R1, R4, R5, R10, R17","10K","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5","Uniroyal Elec","0805W8F1002T5E"
"R2","100K","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","Uniroyal Elec","0805W8J0104T5E"
"R3, R8, R11-R16, R20","2.7K","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9","Uniroyal Elec","0805W8F2701T5E"
"R6, R9","470K 0.1%","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","YAGEO","RT0805BRE07470RL"
"R7","3.9K","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","Uniroyal Elec","0805W8F3901T5E"
"R18, R19","22","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","Uniroyal Elec","0805W8J0220T5E"
"R21, R22","EMPTY (do not populate)","HalfMarble:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","",""
"SW1, SW3-SW5","Switch small","HalfMarble:PTS810SJG250SMTRLFS","4","Korean Hroparts Elec","K2-1808SN-A4SW-01"
"SW2","Toggle","HalfMarble:SWITCH_SPST_SMD_A","1","Korean Hroparts Elec","K3-1296S-E1"
"U1","USB LDO XC6206","HalfMarble:SOT-23","1","Torex Semicon","XC6206P332MR"
"U2","USB-Serial CH340C","HalfMarble:SOIC-16_3.9x9.9mm_P1.27mm","1","WCH(Jiangsu Qin Heng)","CH340C"
"U3","Main LDO ME6211","HalfMarble:SOT-23-5","1","MICRONE(Nanjing Micro One Elec)","ME6211C33M5G-N"
"U4","ESP32-WROOM-32D","HalfMarble:ESP32-WROOM-32","1","Espressif Systems","ESP32-WROOM-32D"
"U5, U8, U13, U16","MouseBite (panel tab)","HalfMarble:MouseBiteHalf","4","",""
"U6, U7, U9-U12, U14, U15","MouseBite (panel tab)","HalfMarble:MouseBite","8","",""
"Y1","32.768kHz crystal","HalfMarble:XTAL_ABS07-32.768KHZ-T","1","Seiko Epson","Q13FC1350000400"
